floors,lateral_force_N,safety_factor_min,max_displacement_mm,max_stress_MPa
6,235500.0,77.587,0.717,2.668
6,377500.0,48.402,1.149,4.277
6,757000.0,24.137,2.303,8.577
6,1582000.0,11.55,4.814,17.924
6,2377000.0,7.687,7.233,26.931
6,4235500.0,4.314,12.888,47.988
6,6584000.0,2.775,20.034,74.597
6,10627500.0,1.719,32.338,120.41
6,17425000.0,1.049,53.023,197.425
6,24000000.0,0.761,73.03,271.92
7,224000.0,78.079,0.808,2.652
7,358500.0,48.797,1.293,4.245
7,719500.0,24.313,2.596,8.519
7,1503500.0,11.635,5.424,17.801
7,2258500.0,7.746,8.148,26.741
7,4024500.0,4.347,14.52,47.65
7,6256000.0,2.796,22.57,74.071
7,10098500.0,1.732,36.433,119.566
7,16557500.0,1.056,59.736,196.041
7,23000000.0,0.761,82.979,272.32
8,214000.0,79.697,0.9,2.592
8,343000.0,49.723,1.442,4.154
8,688500.0,24.771,2.895,8.338
8,1438000.0,11.86,6.046,17.416
8,2161000.0,7.892,9.085,26.172
8,3850500.0,4.429,16.188,46.633
8,5985000.0,2.85,25.162,72.484
8,9661500.0,1.765,40.619,117.01
8,15841000.0,1.077,66.599,191.85
8,22809000.0,0.748,95.894,276.24
9,206000.0,80.066,0.986,2.584
9,330000.0,49.981,1.58,4.139
9,662000.0,24.915,3.169,8.303
9,1383000.0,11.926,6.62,17.347
9,2078000.0,7.937,9.947,26.064
9,3703000.0,4.454,17.726,46.447
9,5756000.0,2.865,27.553,72.198
9,9291500.0,1.775,44.477,116.543
9,15234500.0,1.083,72.926,191.086
9,20974000.0,0.786,100.4,263.077
10,199000.0,80.221,1.074,2.581
10,318500.0,50.119,1.719,4.131
10,639500.0,24.962,3.452,8.294
10,1335500.0,11.954,7.208,17.321
10,2007000.0,7.953,10.833,26.031
10,3576000.0,4.464,19.302,46.381
10,5558500.0,2.872,30.003,72.094
10,8973000.0,1.779,48.433,116.38
10,14712000.0,1.085,79.409,190.815
10,20254500.0,0.788,109.326,262.701
